                                  Package    Version
RcppArmadillo               RcppArmadillo 0.11.4.3.1
RcppEigen                       RcppEigen  0.3.3.9.3
RcppNumerical               RcppNumerical      0.4-0
RcppParallel                 RcppParallel      5.1.6
RcppProgress                 RcppProgress      0.4.2
RcppRoll                         RcppRoll      0.3.0
RcppTOML                         RcppTOML      0.2.0
RCurl                               RCurl   1.98-1.9
Rdpack                             Rdpack        2.4
readr                               readr      2.1.3
readxl                             readxl      1.4.1
recipes                           recipes      1.0.4
redland                           redland  1.0.17-16
rematch                           rematch      1.0.1
rematch2                         rematch2      2.1.2
remotes                           remotes      2.4.2
renv                                 renv     0.16.0
reprex                             reprex      2.0.2
reshape                           reshape      0.8.9
reshape2                         reshape2      1.4.4
restfulr                         restfulr     0.0.15
reticulate                     reticulate       1.27
rex                                   rex      1.2.1
rgdal                               rgdal      1.6-4
Rhtslib                           Rhtslib      2.0.0
rJava                               rJava      1.0-6
rjson                               rjson     0.2.21
rlang                               rlang      1.0.6
RMariaDB                         RMariaDB      1.2.2
rmarkdown                       rmarkdown       2.19
rmdshower                       rmdshower      2.1.1
ROCR                                 ROCR     1.0-11
roxygen2                         roxygen2      7.2.3
rpart.plot                     rpart.plot      3.1.1
RPostgres                       RPostgres      1.4.4
rprojroot                       rprojroot      2.0.3
rsample                           rsample      1.1.1
Rsamtools                       Rsamtools     2.14.0
rsconnect                       rsconnect     0.8.28
RSQLite                           RSQLite     2.2.19
rstan                               rstan     2.21.7
rstatix                           rstatix      0.7.1
rstudioapi                     rstudioapi       0.14
rticles                           rticles       0.24
rtracklayer                   rtracklayer     1.58.0
Rtsne                               Rtsne       0.16
rversions                       rversions      2.1.2
rvest                               rvest      1.0.3
s2                                     s2      1.1.2
S4Vectors                       S4Vectors     0.36.1
sandwich                         sandwich      3.0-2
sass                                 sass      0.4.4
scales                             scales      1.2.1
scattermore                   scattermore        0.8
scatterplot3d               scatterplot3d     0.3-42
sctransform                   sctransform      0.3.5
selectr                           selectr      0.4-2
servr                               servr       0.25
sessioninfo                   sessioninfo      1.2.2
Seurat                             Seurat      4.3.0
SeuratObject                 SeuratObject      4.1.3
sf                                     sf      1.0-9
shape                               shape      1.4.6
shiny                               shiny      1.7.4
shinydashboard             shinydashboard      0.7.2
Signac                             Signac      1.9.0
sitmo                               sitmo      2.0.2
Sleuth3                           Sleuth3      1.0-3
slider                             slider      0.3.0
snakecase                       snakecase     0.11.0
snow                                 snow      0.4-4
SnowballC                       SnowballC      0.7.0
sourcetools                   sourcetools      0.1.7
sp                                     sp      1.5-1
spam                                 spam      2.9-1
SparseM                           SparseM       1.81
spatstat.data               spatstat.data      3.0-0
spatstat.explore         spatstat.explore      3.0-5
spatstat.geom               spatstat.geom      3.0-3
spatstat.random           spatstat.random      3.0-1
spatstat.sparse           spatstat.sparse      3.0-0
spatstat.utils             spatstat.utils      3.0-1
SQUAREM                           SQUAREM     2021.1
StanHeaders                   StanHeaders   2.21.0-7
stringi                           stringi     1.7.12
